abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
ND,North Dakota,228,264,877,0,1827,1918,0,0,0,239,207,0,0,196,113,833,261,122,64,0,116,81,265,6672,98,636,977,497,702,0,55,41,77,206,N/A,453,308,42,166,0,656,1725,7,989,175,0,852,217,175,284,338
OH,Ohio,1411,1316,7906,1135,10653,4533,287,191,651,22927,7501,884,1018,6872,11235,1127,1310,17041,1115,628,2522,1829,11318,2635,896,3557,402,563,1407,324,1452,1178,4625,9337,6,N/A,1148,1411,14319,63,4388,64,6200,8728,1875,214,5622,3192,6757,2610,819
OK,Oklahoma,194,335,1626,9938,6671,4582,415,0,0,3142,3299,1095,93,1491,1198,1465,8408,577,2159,79,463,297,705,1212,562,5298,1018,587,1520,186,1540,1076,1327,1263,280,858,N/A,725,378,0,555,21,2495,26284,1338,11,2810,1223,520,289,964
OR,Oregon,200,3174,8587,193,22724,2419,35,0,157,2919,453,1763,4963,954,387,348,848,298,195,215,378,1528,811,781,465,1186,2950,106,3101,208,760,932,1055,1333,724,432,1261,N/A,234,139,255,667,1080,3827,4089,26,1541,25525,118,945,893
PA,Pennsylvania,1837,255,4280,516,10466,3950,2214,6828,1494,25659,9076,1087,169,4588,2419,451,918,2226,1239,976,15485,8236,2739,1106,613,1535,457,702,1601,890,23597,822,22895,12179,114,14147,494,904,N/A,735,6497,515,3329,10449,944,935,14190,3397,5208,1563,230
RI,Rhode Island,0,0,614,59,1648,137,1558,135,635,3050,440,106,0,462,0,0,18,0,737,1024,82,6863,68,299,185,361,0,0,336,1248,429,0,3222,290,244,435,0,177,771,N/A,538,0,26,1763,351,341,1605,97,0,144,0
SC,South Carolina,2811,384,1070,52,4110,2383,940,298,150,11366,18611,644,205,1583,1414,943,556,1347,1914,173,2297,2477,1822,1705,596,2856,230,456,480,323,2372,325,5952,25532,14,2445,569,461,3023,481,N/A,158,4300,4470,60,124,7936,2727,1098,1053,122
SD,South Dakota,518,99,1472,673,826,756,0,0,0,1070,257,459,118,394,111,1158,154,0,0,0,0,194,66,3442,79,527,191,2507,0,0,581,509,0,351,1754,47,108,119,159,0,816,N/A,0,1264,47,39,35,94,36,329,1175
TN,Tennessee,10539,451,5075,4195,5802,2535,260,344,577,16275,17606,1314,1957,4648,3547,1148,1542,10064,2348,985,1800,823,3259,1738,11643,3122,45,232,1699,77,1400,338,1279,9230,746,3542,2471,802,1273,120,3550,507,N/A,10368,863,193,6189,3206,1061,1051,4
TX,Texas,7468,1488,14788,11767,43005,17355,3279,133,1473,28564,16198,3300,1352,16780,4490,3553,8468,3345,24488,496,5612,3694,8638,4001,7230,9278,1393,3130,5484,2150,2509,11955,11231,12638,1414,11760,25508,3347,6768,823,5351,1715,8716,N/A,3605,493,12944,14196,622,2765,1427
UT,Utah,579,330,5916,269,12172,6398,45,166,116,2499,20,2183,6617,1154,105,886,97,464,277,200,1061,1027,819,429,454,3287,260,229,4605,557,425,1382,622,1189,43,197,2588,4793,1276,0,566,388,784,4610,N/A,81,2092,5298,0,900,1710
VT,Vermont,0,79,207,0,544,503,709,0,267,2747,84,0,0,156,0,0,70,45,45,349,589,2534,60,77,0,318,87,79,121,2960,35,81,2764,445,758,364,197,367,1012,53,298,5,133,113,39,N/A,423,223,54,62,0
VA,Virginia,3170,1265,2763,1159,15625,3796,1729,1746,9537,25697,10702,1393,269,4311,1932,268,1705,3319,1857,573,20579,4098,3057,1037,1929,2609,156,1076,1135,660,5024,1560,7939,26759,403,3193,1749,676,11960,1008,9377,340,8008,17734,1369,728,N/A,3839,6317,1267,138
WA,Washington,1034,3725,13247,251,34569,4853,1593,29,481,4943,1965,5920,10398,2704,258,919,3265,1988,1581,118,1431,1653,2146,1685,433,2312,4783,1327,2997,113,1847,1251,2614,5915,1604,2862,1574,21224,1787,287,1629,1026,1876,11630,3529,98,4160,N/A,297,1208,1323
WV,West Virginia,128,0,765,84,1413,837,174,161,293,3533,1237,197,0,1221,507,22,139,3346,238,51,1957,385,353,0,0,148,0,111,100,80,297,0,921,2677,0,7820,368,593,6762,0,1345,131,3248,1729,0,0,3839,215,N/A,0,0
WI,Wisconsin,760,206,3765,695,5681,3000,711,0,721,6216,3441,295,225,14414,1727,3607,486,1395,682,0,460,584,4768,17618,611,2636,750,316,1046,239,680,321,979,2266,543,974,1061,426,1550,135,832,314,1622,4192,1445,151,1258,1168,470,N/A,282
WY,Wyoming,88,136,2786,1498,1886,5602,104,0,215,773,106,50,677,302,1681,392,278,0,146,59,0,264,1277,213,307,810,934,917,766,71,23,95,396,604,365,202,45,765,434,21,0,979,358,2472,2216,96,143,394,252,30,N/A
