abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
NC,North Carolina,4329,1458,3493,861,13883,4790,4914,2180,1801,26365,16823,1566,334,6378,4532,775,1595,1531,919,1259,9005,3710,6161,1523,2377,2623,244,628,1627,754,11468,1138,19891,N/A,206,9337,1263,1333,12179,290,25532,351,9230,12638,1189,445,26759,5915,2677,2266,604,273149,238663
ND,North Dakota,83,70,1571,0,999,546,65,0,70,950,98,160,540,799,55,458,161,22,18,98,232,187,757,15257,72,1490,1776,950,854,0,140,161,331,231,N/A,6,280,724,114,244,14,1754,746,1414,43,758,403,1604,0,543,365,38213,23959
OH,Ohio,3705,2207,4929,884,8995,3180,1355,1079,985,16366,8052,1198,412,9510,13534,1039,1166,13227,2214,1189,5026,2189,16336,1122,1017,3026,276,1052,907,189,4703,1361,8732,5498,453,N/A,858,432,14147,435,2445,47,3542,11760,197,364,3193,2862,7820,974,202,196391,199202
OK,Oklahoma,1030,1279,2974,5777,8950,4717,0,380,151,5011,2581,189,905,1100,1490,1088,7065,1354,2562,167,750,1233,1347,906,1850,5210,798,300,1101,549,1523,1244,1981,1961,308,1148,N/A,1261,494,0,569,108,2471,25508,2588,197,1749,1574,368,1061,45,108972,102572
OR,Oregon,373,2513,7954,165,31862,4472,381,0,696,1660,1032,2501,5093,1676,1380,834,556,202,227,446,457,760,570,1792,186,403,2192,570,5935,39,385,920,2379,1482,42,1411,725,N/A,904,177,461,119,802,3347,4793,367,676,21224,593,426,765,118925,108182
PA,Pennsylvania,1926,1658,3529,573,7772,2574,3311,4814,2921,14631,4337,245,359,3749,1599,125,967,1233,694,988,17529,5900,2642,1169,55,1171,135,214,1600,1138,33791,1001,32898,6380,166,14319,378,234,N/A,771,3023,159,1273,6768,1276,1012,11960,1787,6762,1550,434,215500,237156
RI,Rhode Island,20,0,93,0,2146,332,4170,0,313,2752,168,120,0,385,0,0,27,286,24,279,482,11253,230,131,0,210,0,188,25,611,1219,36,3603,478,0,63,0,139,735,N/A,481,0,120,823,0,53,1008,287,0,135,21,33446,30498
SC,South Carolina,1665,1244,2222,839,5979,1915,1590,697,435,11552,18570,638,198,2125,3802,643,1064,1924,2709,2077,3565,2313,2966,757,1407,1884,93,158,1025,917,6517,1052,10746,24764,656,4388,555,255,6497,538,N/A,816,3550,5351,566,298,9377,1629,1345,832,0,156705,127418
SD,South Dakota,0,855,435,227,1494,1744,2,0,0,970,122,8,78,74,210,2441,403,0,0,0,60,61,892,3568,34,474,248,2175,135,0,0,175,371,240,1725,64,21,667,515,0,158,N/A,507,1715,388,5,340,1026,131,314,979,26051,22534
TN,Tennessee,12116,1281,2250,3306,8396,2473,936,176,180,15641,16012,1058,787,7094,5591,617,2630,13202,2452,1040,1743,1525,4507,1178,10568,2694,308,432,735,271,783,751,6279,5904,7,6200,2495,1080,3329,26,4300,0,N/A,8716,784,133,8008,1876,3248,1622,358,177098,163843
TX,Texas,9993,6759,18908,13781,62702,16616,2769,181,1189,31259,20362,5040,2387,19672,8264,4934,12699,6040,29348,1293,4969,4813,9501,2803,6402,12319,1813,4794,8266,761,6797,16762,20274,22660,989,8728,26284,3827,10449,1763,4470,1264,10368,N/A,4610,113,17734,11630,1729,4192,2472,507752,402187
UT,Utah,126,2819,7966,361,15286,5350,142,0,0,2428,1142,1436,5129,1588,475,2791,398,217,345,380,613,1503,1670,385,284,1553,1057,489,5391,507,437,686,2129,842,175,1875,1338,4089,944,351,60,47,863,3605,N/A,39,1369,3529,0,1445,2216,87870,82165
VT,Vermont,16,93,127,0,1112,382,1626,0,116,966,56,6,0,230,68,30,0,1243,73,883,862,3318,284,315,0,23,147,0,17,2893,833,74,4780,328,0,214,11,26,935,341,124,39,193,493,81,N/A,728,98,0,151,96,24431,20056
VA,Virginia,2515,1906,2420,445,14780,5352,2725,2279,10964,19574,9535,3823,652,7089,2663,221,1144,3908,1638,1144,23925,3767,2982,2294,1344,1914,658,357,973,535,9073,947,15893,25575,852,5622,2810,1541,14190,1605,7936,35,6189,12944,2092,423,N/A,4160,3839,1258,143,250653,238540
WA,Washington,1507,4328,8362,1413,45597,5195,2901,100,773,9370,6363,5239,10604,4298,1089,1159,2544,1368,1646,532,1191,2911,3470,2703,615,2802,2919,682,5671,309,2300,872,5562,4088,217,3192,1223,25525,3397,97,2727,94,3206,14196,5298,223,3839,N/A,215,1168,394,215494,180462
WV,West Virginia,477,306,79,0,1231,104,143,674,294,1919,1108,166,181,220,328,68,39,2249,90,35,5352,164,778,20,0,59,0,0,229,129,1213,81,1721,4683,175,6757,520,118,5208,0,1098,36,1061,622,0,54,6317,297,N/A,470,252,47125,47425
WI,Wisconsin,323,236,3257,253,5347,1600,657,296,15,4937,970,333,360,22285,2480,4161,1160,635,598,233,1306,489,3917,18965,238,1263,784,324,1163,3,606,526,2033,2939,284,2610,289,945,1563,144,1053,329,1051,2765,900,62,1267,1208,0,N/A,30,99192,97724
WY,Wyoming,260,590,2014,244,2035,5599,0,0,0,733,166,0,745,905,179,259,539,4,88,0,294,548,965,290,136,244,1901,1216,355,0,121,604,231,459,338,819,964,893,230,0,122,1175,4,1427,1710,0,138,1323,0,282,N/A,31149,32228
